customer_id,first_name,last_name,email,street,city,state,country
0,Margaret,Carter,thomascarey@example.com,07992 Franco Manors Suite 661,East Annettetown,New York,Cocos (Keeling) Islands
1,Derek,Douglas,willisrobert@example.org,421 Kristin Shore Suite 044,Mauriceberg,Louisiana,Brazil
2,Katelyn,Hernandez,fcurtis@example.net,02978 Mcfarland Knoll Suite 735,Wernerland,Missouri,French Polynesia
3,Gloria,Lynn,tturner@example.net,42905 Waters Canyon Apt. 591,Port Rebecca,New Jersey,Greece
4,Samantha,Carrillo,matthew71@example.net,92993 Alexander Mountains,South Gregory,Kansas,Falkland Islands (Malvinas)
5,Christopher,Wright,riosjimmy@example.com,1294 Perry Turnpike Suite 711,Port Theodoremouth,Kentucky,Albania
6,Paula,Morgan,todd38@example.net,712 Allen Point,North Stephanie,Virginia,North Macedonia
7,Sarah,Valenzuela,shawngarcia@example.net,066 Lisa Mountains Suite 820,Port Ryanchester,Massachusetts,Kenya
8,Carlos,Smith,lindseymills@example.org,105 Andrews Ville Suite 947,Floresview,New Mexico,Saint Vincent and the Grenadines
9,Michael,Scott,ceaton@example.net,101 Edwards Circles Suite 419,Murrayhaven,Maryland,Guyana
10,Anthony,Black,amberjenkins@example.org,0661 Dixon Parks Suite 789,Jonathanbury,Maryland,Saint Barthelemy
11,Mary,Parker,brownlori@example.net,0253 Carl Walk Apt. 614,New Michaelstad,Colorado,Congo
12,Carla,Mullins,scooper@example.org,38043 Todd Curve Apt. 399,Brandichester,Maryland,Canada
13,Patricia,Romero,alexis40@example.org,883 Howell Stream Apt. 747,New Dianaview,New Mexico,Saint Barthelemy
14,Clinton,Medina,mark19@example.com,23437 Mclean Unions,Arnoldshire,California,Samoa
15,Mariah,Duffy,ryanmitchell@example.com,514 Daniel River,Port Anthonybury,Alabama,Georgia
16,Amy,Howard,rebeccaboone@example.org,0407 Michael Port Apt. 498,Emilystad,Illinois,Croatia
17,Troy,Martinez,brandy47@example.net,23754 Tina Landing Suite 692,New Dustin,Idaho,Slovakia (Slovak Republic)
18,Melissa,Scott,sharon71@example.org,90094 Mcgee Manors Apt. 072,Martinezburgh,Rhode Island,France
19,Kimberly,Thomas,taterodney@example.net,530 Alejandro Junction Apt. 929,Port Tanyaport,North Carolina,Wallis and Futuna
20,James,Serrano,brian93@example.net,182 Davis Vista Apt. 277,West Cindy,Georgia,Qatar
21,Jonathan,Knight,murphydennis@example.net,21513 Myers Fields,Romeromouth,Louisiana,Bahrain
22,Belinda,Smith,shawnwilliams@example.com,41749 Ashley Dale,New Kimberly,Illinois,Puerto Rico
